indeks_mapel_un_1_5;presentase_rangking _1_5;indeks_mapel_un_3_5;presentase_rangking _1_5;lulus_tpb
80;10;80;30;1
80;20;80;30;0
80;20;80;30;1
80;50;80;30;1
90;20;80;30;1
80;40;80;30;1
80;40;80;30;1
80;60;80;30;0
90;10;80;30;1
90;30;80;30;1
90;10;80;30;1
80;30;80;30;1
90;10;80;30;0
80;60;80;30;1
80;10;80;30;1
80;20;80;30;0
80;10;80;30;1
90;40;80;30;0
90;50;80;30;1
90;10;80;30;0
90;30;80;30;1
80;60;80;30;1
90;10;80;30;1
80;40;80;30;1
80;10;80;30;1
90;30;80;30;0
90;10;80;30;1
80;10;80;30;1
90;30;80;30;1
80;50;80;30;1
80;10;80;30;1
90;0;80;30;1
90;20;80;30;1
90;10;80;30;1
80;30;80;30;1
80;90;80;30;1
90;20;80;30;1
80;10;80;30;1
80;50;80;30;1
90;10;80;30;1
80;70;80;30;1
80;40;80;30;0
80;60;80;30;1
90;10;80;30;1
90;40;80;30;1
90;50;80;30;1
90;20;80;30;1
90;30;80;30;1
80;10;80;30;1
90;10;80;30;1
80;60;80;30;0
80;30;80;30;1
90;20;80;30;1
80;10;80;30;1
80;30;80;30;1
80;20;80;30;1
80;10;80;30;1
80;80;80;30;0
80;40;80;30;1
80;40;80;30;1
80;0;80;30;1
80;50;80;30;1
90;10;80;30;1
90;0;80;30;1
80;30;80;30;1
80;10;80;30;0
80;30;80;30;1
80;50;80;30;1
80;20;80;30;1
80;30;80;30;1
80;20;80;30;1
90;50;80;30;1
80;40;80;30;1
90;20;80;30;1
80;60;80;30;1
80;0;80;30;1
80;10;80;30;1
90;0;80;30;1
80;30;80;30;1
80;10;80;30;1
90;40;80;30;1
90;50;80;30;0
90;10;80;30;1
90;20;80;30;1
80;70;80;30;1
80;20;80;30;1
90;50;80;30;1
90;20;80;30;1
80;40;80;30;1
80;30;80;30;1
80;20;80;30;0
90;10;80;30;0
80;80;80;30;1
90;10;80;30;1
80;30;80;30;1
80;20;80;30;1
80;30;80;30;1
80;40;80;30;0
80;20;80;30;1
80;40;80;30;1
80;20;80;30;0
90;20;80;30;1
90;10;80;30;1
80;40;80;30;1
80;20;80;30;1
90;60;80;30;1
80;30;80;30;1
90;30;80;30;1
90;10;80;30;1
90;10;80;30;1
90;30;80;30;1
90;20;80;30;0
80;10;80;30;1
80;10;80;30;1
80;40;80;30;1
80;40;80;30;1
80;60;80;30;1
90;30;80;30;1
80;40;80;30;1
90;20;80;30;1
80;60;80;30;1
90;50;80;30;1
80;80;80;30;1
80;50;80;30;0
80;20;80;30;1
80;10;80;30;1
80;10;80;30;1
80;20;80;30;0
80;40;80;30;1
90;20;80;30;1
80;70;80;30;1
80;20;80;30;1
80;40;80;30;1
90;10;80;30;1
90;30;80;30;1
80;40;80;30;1
90;0;80;30;1
80;20;80;30;1
80;40;80;30;1
80;10;80;30;1
80;60;80;30;1
80;50;80;30;1
80;60;80;30;0
80;10;80;30;1
80;30;80;30;1
80;50;80;30;1
80;40;80;30;1
90;40;80;30;1
80;0;80;30;1
80;60;80;30;1
90;0;80;30;1
90;20;80;30;1
90;50;80;30;1
80;50;80;30;1
80;30;80;30;1
80;50;80;40;1
80;30;80;30;1
80;20;80;30;1
80;50;80;50;0
90;20;90;20;1
80;50;90;40;1
90;10;80;20;1
90;0;90;0;1
80;10;80;10;1
90;0;90;0;1
80;40;80;50;1
90;10;90;10;1
80;40;80;50;1
90;0;80;0;1
80;0;90;0;1
80;30;80;20;1
80;10;90;10;1
80;10;90;10;0
90;0;90;0;1
80;10;80;10;1
90;10;90;20;1
80;30;80;70;1
80;20;80;20;1
80;40;90;30;0
90;10;80;30;1
80;50;80;70;1
80;30;80;50;1
90;0;90;0;1
90;10;90;10;1
80;20;80;40;1
90;30;90;40;1
80;40;80;60;0
90;10;90;10;1
80;10;80;10;1
80;20;80;20;1
80;50;80;50;1
90;30;90;10;1
90;10;90;10;0
80;30;80;60;1
80;20;80;10;1
90;10;90;10;1
90;0;90;0;0
90;0;90;10;1
90;10;90;10;1
80;10;90;10;1
80;10;80;20;1
90;10;90;10;1
90;10;80;10;1
90;10;90;10;1
90;30;90;30;1
90;30;90;30;1
80;20;80;20;0
90;40;90;40;1
80;0;80;10;1
90;20;90;20;1
80;30;80;30;0
80;30;80;30;1
80;40;80;50;0
80;20;80;30;1
80;10;80;30;1
80;40;80;50;1
90;20;90;20;1
80;30;80;50;1
80;10;80;10;1
90;20;90;30;1
90;20;90;30;1
80;20;80;20;1
80;10;80;40;1
90;20;90;20;0
80;10;90;20;1
90;40;90;50;1
80;40;80;40;1
90;30;90;30;1
90;50;90;50;1
80;50;80;50;1
80;20;80;20;1
90;30;80;30;1
80;20;80;20;1
80;10;80;10;1
80;0;80;0;1
80;30;80;20;1
80;50;80;50;1
80;20;80;30;1
80;10;80;10;1
90;30;90;40;1
90;10;90;10;1
80;10;80;20;1
90;20;80;20;1
90;0;90;10;1
80;0;80;0;1
80;40;80;50;1
90;40;80;40;1
80;20;80;20;1
80;20;80;20;1
80;20;80;20;1
90;10;90;10;1
80;40;90;40;1
80;10;80;10;1
80;50;90;40;1
90;10;90;10;1
90;0;90;0;1
90;50;90;40;1
80;20;80;30;1
90;30;90;30;1
80;20;80;20;1
90;30;90;30;1
90;20;80;20;0
80;40;90;40;1
90;40;90;30;0
90;10;80;10;1
90;30;90;30;1
90;10;90;10;1
90;30;90;30;1
90;30;90;40;1
80;10;80;40;1
80;10;80;0;1
90;0;80;20;1
90;10;90;30;1
80;40;90;40;1
90;0;90;0;1
80;10;90;10;1
80;40;80;50;1
80;10;80;20;1
80;10;80;30;1
80;30;80;40;1
90;10;90;10;1
80;10;80;10;1
90;40;90;60;1
80;20;80;20;1
80;40;80;30;1
90;20;90;10;1
80;40;80;50;1
90;10;80;10;1
80;10;80;10;1
90;10;90;10;1
80;10;90;10;1
80;0;90;10;1
80;20;80;20;0
80;10;80;20;0
90;10;90;10;1
80;10;80;10;1
90;20;90;20;1
80;10;80;10;1
80;30;80;30;1
90;20;80;40;1
90;20;80;20;1
90;40;90;40;1
90;0;80;0;0
80;0;80;10;1
90;20;90;20;1
80;20;80;20;1
80;40;80;40;0
80;30;80;40;1
90;30;90;30;1
80;10;90;10;1
90;20;90;30;0
90;10;90;10;0
80;10;80;30;1
90;20;90;20;1
90;10;90;10;1
90;30;90;30;1
80;10;80;20;1
90;30;80;30;1
90;10;90;10;1
80;20;80;20;1
80;10;80;10;1
80;10;90;10;1
80;20;80;30;1
90;10;90;10;1
90;10;90;10;0
80;20;80;20;1
80;20;80;30;1
90;30;90;30;1
80;20;80;30;1
80;0;80;0;1
90;0;90;0;0
80;50;80;50;1
90;30;90;30;1
90;30;90;30;0
90;30;90;20;1
80;20;80;40;1
80;10;80;30;0
80;20;90;30;1
90;20;80;20;1
80;20;80;20;1
80;50;80;50;1
80;50;80;50;1
90;10;90;10;1
80;10;90;0;1
80;10;80;10;1
90;10;90;10;1
80;10;80;20;1
80;50;80;20;1
90;30;90;30;1
80;0;80;0;1
80;30;80;40;1
90;30;90;20;0
90;50;90;40;1
80;10;80;10;0
90;20;90;30;1
80;0;80;0;0
90;10;90;10;1
90;0;90;0;1
90;10;90;10;0
90;20;90;20;1
80;10;80;10;1
90;10;90;10;1
80;10;80;10;1
80;10;80;20;0
80;10;80;10;1
80;40;80;50;1
80;10;80;10;1
80;20;80;30;1
80;40;80;40;1
90;0;90;0;1
90;0;90;0;1
90;40;90;30;1
80;10;80;10;1
90;20;90;30;1
90;40;90;30;1
90;40;90;40;1
90;20;90;20;1
80;10;80;10;1
80;10;80;20;1
80;10;80;10;1
80;30;80;30;1
90;30;90;30;1
90;40;90;40;1
90;30;90;40;0
80;0;80;10;1
90;40;90;50;1
90;30;90;40;1
90;50;90;50;1
90;0;90;0;1
80;10;80;20;1
80;10;80;10;1
80;30;80;30;1
80;50;80;60;1
90;20;90;10;0
90;30;90;50;1
80;10;80;20;1
80;30;80;30;1
90;20;90;20;1
90;0;90;0;1
90;0;90;0;1
80;30;80;30;1
80;10;80;10;1
90;0;90;10;1
90;20;90;20;0
80;10;80;10;1
90;20;90;20;1
80;10;80;20;1
90;10;90;20;1
80;30;80;30;1
80;20;80;20;1
80;40;90;40;1
80;20;80;10;1
80;50;80;50;1
80;10;80;20;1
90;10;90;20;0
80;10;90;10;1
80;30;90;30;1
80;30;80;40;1
80;10;80;10;0
80;20;80;20;1
80;40;80;50;0
80;20;80;10;1
80;10;80;20;1
80;50;80;60;1
80;50;80;40;1
80;30;80;30;1
80;10;80;10;1
80;10;80;20;1
80;10;80;10;1
90;20;90;10;1
90;20;90;10;1
80;40;80;40;1
90;40;90;40;1
80;20;80;20;1
80;40;80;40;1
90;0;90;0;1
80;30;90;40;0
80;10;80;10;1
90;40;90;40;1
90;0;90;0;1
80;30;80;40;1
90;10;90;10;1
80;50;80;50;1
80;30;80;30;1
90;30;90;40;0
80;40;80;40;1
90;20;90;20;1
80;20;80;20;1
90;0;80;10;1
90;20;80;30;1
80;10;80;10;0
90;20;80;20;1
90;40;90;50;1
90;40;90;40;1
90;10;90;10;1
80;20;80;20;1
80;30;80;40;1
80;30;90;20;1
80;20;90;20;1
90;20;80;20;1
90;20;90;40;1
90;20;80;20;1
80;40;80;40;1
80;0;90;0;1
80;0;80;0;1
90;10;90;10;1
80;40;80;40;1
80;10;80;10;1
90;10;80;10;1
80;20;80;10;1
80;10;90;10;1
90;10;80;10;0
80;40;80;40;1
80;30;80;30;1
80;30;80;30;0
80;20;80;20;1
80;20;80;40;1
90;30;80;40;1
80;20;80;30;1
80;20;80;30;1
80;10;90;10;1
80;20;80;50;1
80;40;90;40;1
90;20;90;20;1
80;50;80;40;1
80;10;80;10;1
90;0;90;0;1
80;40;90;50;1
80;40;80;30;1
90;0;90;0;1
80;40;80;50;1
90;0;80;10;0
80;10;80;10;1
80;20;80;40;0
80;0;80;10;1
80;20;80;30;1
80;40;90;40;1
80;20;80;20;1
90;10;90;20;1
90;0;90;10;1
80;50;80;60;1
90;20;80;20;1
80;20;80;30;1
80;10;80;10;1
80;10;80;20;1
90;30;90;30;1
80;0;80;10;0
80;30;90;30;1
80;30;90;50;1
80;40;80;30;1
80;30;90;30;1
80;40;80;40;0
80;0;80;10;1
90;20;90;20;1
90;30;80;20;1
80;10;80;10;1
80;20;80;30;1
80;10;80;10;0
80;20;80;20;1
90;10;80;40;1
80;30;80;20;1
90;10;90;10;1
80;30;80;30;1
80;50;80;50;1
90;10;90;10;1
90;0;90;10;1
80;30;80;40;1
80;0;80;10;1
90;50;80;60;1
90;10;90;10;1
90;10;80;10;1
80;20;80;20;0
90;0;90;10;1
80;10;80;10;1
90;0;90;10;1
90;10;90;20;1
90;0;90;0;1
80;10;80;20;1
80;20;80;20;1
80;40;80;50;1
80;20;80;40;1
80;30;80;40;1
90;20;90;30;0
80;20;80;20;1
80;40;90;30;1
80;20;80;10;1
80;30;80;60;1
80;30;90;30;1
80;30;80;30;1
80;20;80;30;1
80;0;80;0;1
80;30;80;40;1
90;40;90;40;1
80;50;80;50;1
80;10;80;10;1
80;20;80;20;0
80;0;90;0;1
80;10;80;20;1
80;0;80;10;1
80;0;80;0;1
80;50;80;50;1
80;40;80;30;1
80;10;80;20;1
80;30;80;20;1
80;40;80;40;1
90;40;90;50;1
80;10;80;20;0
80;20;80;20;1
80;20;80;30;1
80;50;80;50;1
80;20;80;30;1
80;30;90;40;1
80;60;90;50;1
90;10;90;20;0
80;30;80;40;1
80;10;80;20;1
80;10;80;10;1
90;20;90;20;0
80;10;80;20;1
90;30;90;30;1
80;20;80;20;1
90;0;90;10;1
90;20;90;30;1
80;50;90;40;0
80;10;80;10;1
90;0;90;0;1
90;10;90;10;1
80;40;80;20;1
90;10;90;10;0
80;20;80;50;1
80;30;80;70;1
80;30;80;30;1
80;40;80;40;1
90;10;90;10;1
80;40;90;40;1
80;30;80;30;1
80;30;80;40;1
80;40;80;40;1
90;10;90;10;1
90;40;80;40;1
90;10;80;10;0
90;0;80;10;1
80;20;80;20;0
80;10;80;20;0
80;10;80;10;1
80;10;80;10;1
80;40;80;40;1
80;20;80;20;1
90;10;90;10;0
70;50;80;40;1
90;10;90;10;1
90;10;90;10;1
80;20;80;40;1
80;10;80;10;1
80;30;80;30;1
80;20;80;20;1
80;10;80;10;1
80;20;80;20;1
80;40;80;30;1
80;20;80;40;1
80;10;80;20;1
80;20;90;20;1
80;30;80;30;1
90;10;90;10;1
80;30;80;20;1
80;10;80;0;1
80;50;80;60;1
80;40;80;40;0
90;10;90;20;1
90;20;90;20;1
80;10;80;30;1
80;40;80;40;1
80;20;80;40;0
80;20;80;20;0
90;20;90;30;1
80;40;80;50;1
80;20;80;30;1
80;40;90;40;1
80;20;80;20;1
80;30;90;30;1
80;0;90;0;1
80;10;80;20;1
80;40;90;50;1
80;20;80;30;1
90;0;90;0;1
90;20;90;20;0
90;30;90;20;1
80;20;80;20;1
90;10;90;10;1
80;20;80;20;1
80;40;80;60;1
80;0;80;0;1
80;20;80;20;1
80;10;80;20;1
80;50;80;50;1
90;10;90;20;1
80;30;80;10;0
90;20;90;30;1
80;20;80;30;1
80;10;80;20;1
90;20;90;30;0
80;30;80;20;1
80;20;80;30;1
80;20;80;30;1
80;10;80;10;1
80;10;80;20;1
80;20;80;30;1
80;10;80;10;1
80;30;80;40;1
80;20;80;30;1
80;50;90;50;1
80;30;80;30;0
80;10;80;20;1
80;10;80;10;1
80;10;80;0;1
90;10;90;10;1
80;20;80;20;0
80;20;80;30;1
90;20;90;20;1
80;40;90;40;1
80;30;90;40;1
80;10;80;20;1
80;40;80;30;1
80;50;80;50;1
80;0;80;10;1
80;40;80;40;1
90;10;90;10;1
90;0;90;0;1
80;30;80;30;1
80;10;80;20;1
80;20;80;20;1
80;30;80;30;0
80;10;80;20;1
80;30;80;30;1
80;10;80;10;1
80;30;80;30;1
80;20;80;20;1
80;0;80;0;1
80;50;80;50;0
80;20;80;20;0
90;30;90;30;1
80;20;80;10;1
80;20;80;30;1
80;10;80;10;1
80;10;80;30;1
80;10;80;30;0
80;50;80;30;0
90;10;80;30;1
80;10;80;30;0
90;10;90;10;1
90;10;90;10;0
90;10;80;30;1
90;0;80;30;1
80;20;80;30;1
80;10;80;30;1
90;0;80;30;1
80;40;80;50;1
90;40;80;30;1
80;30;80;30;1
90;30;80;30;0
80;30;80;30;1
90;20;80;30;1
90;10;80;30;1
80;20;80;30;1
80;10;80;30;0
80;10;80;30;1
80;10;90;10;0
80;40;80;30;1
80;0;80;30;1
80;20;80;30;1
90;0;90;0;0
80;40;80;30;1
90;20;80;30;0
90;10;80;30;0
80;20;80;30;0
80;20;80;30;1
90;0;90;0;1
90;10;80;30;1
90;30;90;30;1
80;10;80;10;0
80;0;80;30;1
80;10;80;30;1
90;20;80;30;1
90;10;90;10;1
90;10;90;10;1
80;10;80;20;1
80;0;80;10;1
80;20;80;30;1
80;0;80;30;1
80;20;80;30;1
90;10;80;30;1
80;20;80;30;1
80;0;80;10;1
80;40;80;30;1
90;0;90;0;1
80;0;90;0;0
90;0;80;30;1
80;40;80;30;1
80;10;80;30;1
90;10;80;30;1
80;10;80;30;1
90;30;80;30;0
80;20;80;30;1
90;0;80;30;1
80;50;80;30;1
90;0;80;30;1
90;0;80;30;0
90;0;80;30;1
90;20;80;30;0
90;0;80;30;1
80;10;80;30;1
80;10;80;30;1
90;10;90;10;1
80;10;80;10;0
80;10;80;30;1
80;0;90;10;0
80;10;80;30;1
80;10;80;30;0
80;30;90;30;1
90;10;80;30;1
80;30;80;30;1
80;50;80;30;1
90;30;90;20;1
90;10;80;30;1
80;30;80;30;1
80;30;80;40;0
80;50;80;30;1
80;10;80;30;1
80;10;80;30;1
80;10;80;10;1
80;30;80;30;1
90;30;80;30;1
80;10;80;30;1
80;40;80;30;1
90;0;90;10;1
80;10;80;30;1
80;20;80;30;1
90;20;80;30;1
80;50;80;30;1
90;0;80;30;1
80;10;80;30;1
80;10;80;30;0
80;40;80;30;1
90;10;80;30;1
80;30;80;30;1
80;40;80;40;1
80;10;80;0;1
80;10;80;30;0
80;0;80;30;1
90;20;80;30;1
80;40;80;30;1
90;10;80;30;1
90;10;90;10;1
90;50;90;40;1
90;20;90;20;1
90;20;80;30;1
90;40;80;30;1
90;30;80;30;1
80;10;80;30;1
90;30;80;30;0
80;20;80;30;1
90;40;80;30;1
90;30;80;30;1
90;20;90;20;1
80;40;80;30;1
90;30;100;30;1
90;10;90;10;0
80;10;80;30;1
80;10;90;20;1
80;30;80;30;1
80;20;80;30;1
90;10;80;30;1
80;10;90;10;1
90;30;80;30;1
80;10;80;30;1
80;30;80;30;1
80;10;80;30;1
90;0;80;30;1
80;30;80;30;1
80;0;90;0;1
90;10;90;10;1
80;10;80;30;1
80;20;80;30;1
90;10;80;30;1
90;10;80;30;1
90;20;90;20;1
90;10;90;10;1
90;10;80;30;1
80;10;80;30;0
90;20;80;30;1
80;30;80;30;1
80;10;80;30;1
90;30;80;30;1
90;10;80;30;1
90;10;80;30;1
90;20;90;20;1
80;30;80;30;0
90;30;80;30;1
80;30;80;30;1
90;10;80;30;0
80;0;90;0;1
80;30;90;20;1
80;50;80;30;1
90;20;90;20;1
80;20;80;30;1
90;40;80;30;1
90;10;80;30;1
90;20;80;30;1
90;30;80;30;1
80;0;80;0;1
80;50;90;50;1
80;0;90;0;1
80;10;80;30;1
80;20;80;30;1
80;10;90;10;1
90;0;80;30;1
80;10;80;0;1
90;10;80;30;1
90;20;90;30;1
80;50;80;30;0
90;20;80;30;1
90;20;90;20;1
90;30;80;30;1
80;40;80;30;1
90;10;90;0;0
90;40;80;30;1
90;0;80;30;1
80;50;80;30;1
90;20;80;30;1
80;10;80;30;0
80;20;80;30;0
80;0;80;30;1
90;10;90;10;1
80;20;80;30;0
80;0;80;30;1
90;10;90;10;0
80;20;90;20;1
80;30;90;30;1
80;20;80;30;1
90;40;80;30;0
90;30;80;30;1
80;0;80;30;0
80;20;80;30;1
80;30;80;30;1
80;10;80;30;1
